"","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"1","2018-05-01","00:00:00",0,23.8,8.1,1.00888450148075,17.6
"2","2018-05-01","01:00:00",0,23.6,8.1,1.00789733464956,17.6
"3","2018-05-01","02:00:00",0,23.4,8.1,1.00888450148075,18.3
"4","2018-05-01","03:00:00",0,23.4,7.8,1.00888450148075,18.7
"5","2018-05-01","04:00:00",0,23.2,7.7,1.00888450148075,18
"6","2018-05-01","05:00:00",0,23.1,7.8,1.00888450148075,15.7
"7","2018-05-01","06:00:00",6.11111111111111,23.2,7.5,1.00987166831194,16.4
"8","2018-05-01","07:00:00",223.888888888889,23,7.3,1.00987166831194,15
"9","2018-05-01","08:00:00",633.888888888889,22.8,7.4,1.01085883514314,13.7
"10","2018-05-01","09:00:00",1046.11111111111,22.9,7.3,1.01085883514314,13.7
"11","2018-05-01","10:00:00",1368.88888888889,23.1,7.1,1.01184600197433,14.8
"12","2018-05-01","11:00:00",1744.11111111111,23.2,6.8,1.01184600197433,16.4
"13","2018-05-01","12:00:00",1944.55555555556,23.6,7.8,1.01184600197433,16.2
"14","2018-05-01","13:00:00",2015.88888888889,23.6,7.2,1.01184600197433,16.4
"15","2018-05-01","14:00:00",1951.66666666667,23.6,7.4,1.01085883514314,16.1
"16","2018-05-01","15:00:00",1754.55555555556,23.9,7.5,1.00987166831194,15.6
"17","2018-05-01","16:00:00",1440.33333333333,24.2,7.9,1.00888450148075,15.2
"18","2018-05-01","17:00:00",1037,24.3,8.1,1.00888450148075,14.2
"19","2018-05-01","18:00:00",561,23.6,7.1,1.00888450148075,16.7
"20","2018-05-01","19:00:00",80.5555555555556,23.5,6.4,1.00888450148075,17.1
"21","2018-05-01","20:00:00",0.111111111111111,24,7.1,1.00888450148075,16.2
"22","2018-05-01","21:00:00",0,24.3,7.5,1.00987166831194,16.1
"23","2018-05-01","22:00:00",0,24.7,8.4,1.00987166831194,15.5
"24","2018-05-01","23:00:00",0,24.8,8.1,1.00987166831194,14.5
