,DateTimeStamp,Temp,Sal,DO_obs,ATemp,BP,WSpd,Tide
1,5/1/2018 0:00,23.8,17.6,8.1,17.4,1022,1.4,1.34
2,5/1/2018 0:15,23.7,17.5,7.9,17.6,1021,1.5,1.35
3,5/1/2018 0:30,23.7,17.5,7.9,17.4,1021,1.4,1.36
4,5/1/2018 0:45,23.7,17.5,7.9,17.7,1021,1.5,1.38
5,5/1/2018 1:00,23.6,17.6,8.1,17.7,1021,1.7,1.39
6,5/1/2018 1:15,23.6,17.6,8.2,18.9,1021,3.7,1.42
7,5/1/2018 1:30,23.5,17.7,8.1,19.7,1021,3.3,1.45
8,5/1/2018 1:45,23.4,17.9,8.2,20.1,1022,3.3,1.49
9,5/1/2018 2:00,23.4,18.3,8.1,21.4,1022,4.7,1.53
10,5/1/2018 2:15,23.6,18.8,8,21.5,1022,4.6,1.57
11,5/1/2018 2:30,23.5,18.6,8,21.5,1022,5,1.62
12,5/1/2018 2:45,23.4,18.6,8,21.5,1022,5,1.66
13,5/1/2018 3:00,23.4,18.7,7.8,21.4,1022,5.3,1.71
14,5/1/2018 3:15,23.4,18.6,7.8,21.3,1022,4.7,1.75
15,5/1/2018 3:30,23.3,18.6,7.8,21.4,1022,5.3,1.77
16,5/1/2018 3:45,23.2,18.5,7.8,21.4,1022,5.1,1.79
17,5/1/2018 4:00,23.2,18,7.7,21.3,1022,4.2,1.81
18,5/1/2018 4:15,23.1,17.1,7.8,21.2,1022,4.2,1.83
19,5/1/2018 4:30,23.1,16.5,7.8,21.2,1022,3.8,1.85
20,5/1/2018 4:45,23.1,16,7.8,21.3,1022,4.5,1.86
21,5/1/2018 5:00,23.1,15.7,7.8,21.2,1022,3.8,1.86
22,5/1/2018 5:15,23.2,16.1,7.6,21.1,1022,3.2,1.87
23,5/1/2018 5:30,23.2,16.3,7.6,21.1,1022,3.9,1.87
24,5/1/2018 5:45,23.2,16.6,7.5,21.1,1022,3.8,1.88
25,5/1/2018 6:00,23.2,16.4,7.5,21,1023,3.2,1.89
26,5/1/2018 6:15,23.1,16,7.5,21,1023,3.2,1.88
27,5/1/2018 6:30,23.1,15.5,7.4,21.2,1023,4,1.9
28,5/1/2018 6:45,23,15.1,7.3,21.3,1023,3.4,1.9
29,5/1/2018 7:00,23,15,7.3,21.6,1023,3.6,1.89
30,5/1/2018 7:15,22.9,14.7,7.3,21.9,1023,4.3,1.89
31,5/1/2018 7:30,22.9,14.2,7.3,22.2,1023,4.3,1.9
32,5/1/2018 7:45,22.8,13.9,7.4,22.4,1024,4.6,1.9
33,5/1/2018 8:00,22.8,13.7,7.4,22.4,1024,5.2,1.9
34,5/1/2018 8:15,22.8,13.6,7.3,22.7,1024,5,1.88
35,5/1/2018 8:30,22.8,13.5,7.3,22.7,1024,5.4,1.88
36,5/1/2018 8:45,22.8,13.6,7.3,22.8,1024,5.4,1.86
37,5/1/2018 9:00,22.9,13.7,7.3,23.1,1024,5.3,1.86
38,5/1/2018 9:15,22.9,13.9,7.3,23,1024,5.7,1.85
39,5/1/2018 9:30,23,14.2,7.2,23.4,1024,4.8,1.85
40,5/1/2018 9:45,23,14.5,7.3,23.8,1025,4.5,1.83
41,5/1/2018 10:00,23.1,14.8,7.1,23.6,1025,5,1.83
42,5/1/2018 10:15,23.1,15.5,6.8,23.9,1025,4.5,1.82
43,5/1/2018 10:30,23.1,16.4,6.6,24,1025,4.6,1.82
44,5/1/2018 10:45,23.1,16.5,6.7,24.3,1025,4.3,1.81
45,5/1/2018 11:00,23.2,16.4,6.8,24.6,1025,4.1,1.81
46,5/1/2018 11:15,23.2,16.3,6.8,24.6,1025,4.7,1.82
47,5/1/2018 11:30,23.5,16.2,7.8,24.6,1025,4.9,1.82
48,5/1/2018 11:45,23.7,16.1,7.8,24.8,1025,4.6,1.82
49,5/1/2018 12:00,23.6,16.2,7.8,24.9,1025,4.7,1.83
50,5/1/2018 12:15,23.6,16.3,7.7,25.2,1025,3.9,1.84
51,5/1/2018 12:30,23.7,16.3,7.7,25.1,1025,4.1,1.86
52,5/1/2018 12:45,23.6,16.4,7.5,25.2,1025,4.2,1.87
53,5/1/2018 13:00,23.6,16.4,7.2,25.3,1025,3.9,1.89
54,5/1/2018 13:15,23.6,16.4,7.3,25.4,1024,4.4,1.91
55,5/1/2018 13:30,23.6,16.4,7.1,25.4,1024,3.9,1.93
56,5/1/2018 13:45,23.6,16.2,6.7,25.7,1024,3.7,1.95
57,5/1/2018 14:00,23.6,16.1,7.4,25.8,1024,3.5,1.96
58,5/1/2018 14:15,23.6,16.1,7.4,25.7,1024,4,1.97
59,5/1/2018 14:30,23.7,15.9,7.4,25.9,1024,3.8,1.98
60,5/1/2018 14:45,23.8,15.7,7.5,26.1,1023,4,1.98
61,5/1/2018 15:00,23.9,15.6,7.5,25.9,1023,4.3,1.98
62,5/1/2018 15:15,23.9,15.6,7.5,25.8,1023,4.4,1.98
63,5/1/2018 15:30,24.4,14.1,8.7,25.9,1023,3.9,1.98
64,5/1/2018 15:45,24.4,14.1,8.7,26,1023,4.2,1.98
65,5/1/2018 16:00,24.2,15.2,7.9,26,1022,4.5,1.97
66,5/1/2018 16:15,24.4,14.2,8.3,25.9,1022,4,1.96
67,5/1/2018 16:30,24.5,13.5,8.8,25.6,1022,3.9,1.96
68,5/1/2018 16:45,24.4,14,8.4,25.6,1022,3.8,1.94
69,5/1/2018 17:00,24.3,14.2,8.1,25.4,1022,3.7,1.93
70,5/1/2018 17:15,24,15.3,7.5,25.2,1022,3.6,1.92
71,5/1/2018 17:30,23.8,16,7.1,24.9,1022,3.9,1.9
72,5/1/2018 17:45,23.6,16.7,6.7,24.8,1022,3.3,1.88
73,5/1/2018 18:00,23.6,16.7,7.1,24.8,1022,2.9,1.85
74,5/1/2018 18:15,23.5,17,6.3,24.5,1022,2.3,1.82
75,5/1/2018 18:30,23.5,17,6.4,24.2,1022,2.4,1.8
76,5/1/2018 18:45,23.5,17.2,6.3,23.8,1022,2.6,1.78
77,5/1/2018 19:00,23.5,17.1,6.4,23.4,1022,2,1.74
78,5/1/2018 19:15,23.6,16.6,6.5,23.2,1022,1.8,1.72
79,5/1/2018 19:30,23.7,16.2,6.6,22.7,1022,1.5,1.69
80,5/1/2018 19:45,23.9,16.2,7,20.8,1022,1.1,1.66
81,5/1/2018 20:00,24,16.2,7.1,20.4,1022,1.1,1.62
82,5/1/2018 20:15,24.1,16.2,7.1,20,1023,1.1,1.59
83,5/1/2018 20:30,24.1,16.1,7.1,20.1,1023,0.8,1.56
84,5/1/2018 20:45,24.2,16.1,7.4,20.7,1023,1.4,1.54
85,5/1/2018 21:00,24.3,16.1,7.5,19.5,1023,1.4,1.51
