Date,Time (LST),Predicted (ft),Preliminary (ft),Verified (ft)
2002-01-01,0:00,1.076,-,0.96
2002-01-01,1:00,1.212,-,1.01
2002-01-01,2:00,1.389,-,1.22
2002-01-01,3:00,1.513,-,1.29
2002-01-01,4:00,1.497,-,1.17
2002-01-01,5:00,1.307,-,0.96
2002-01-01,6:00,0.97,-,0.64
2002-01-01,7:00,0.553,-,0.29
2002-01-01,8:00,0.125,-,-0.08
2002-01-01,9:00,-0.265,-,-0.34
2002-01-01,10:00,-0.59,-,-0.64
2002-01-01,11:00,-0.821,-,-0.82
2002-01-01,12:00,-0.911,-,-0.99
2002-01-01,13:00,-0.814,-,-1.01
2002-01-01,14:00,-0.528,-,-0.84
2002-01-01,15:00,-0.111,-,-0.44
2002-01-01,16:00,0.339,-,-0.13
2002-01-01,17:00,0.721,-,0.29
2002-01-01,18:00,0.976,-,0.54
2002-01-01,19:00,1.099,-,0.65
2002-01-01,20:00,1.118,-,0.8
2002-01-01,21:00,1.069,-,0.81
2002-01-01,22:00,0.986,-,0.82
2002-01-01,23:00,0.912,-,0.73
2002-01-02,0:00,0.9,-,0.81
2002-01-02,1:00,0.984,-,0.91
2002-01-02,2:00,1.152,-,1.06
2002-01-02,3:00,1.343,-,1.17
2002-01-02,4:00,1.468,-,1.3
2002-01-02,5:00,1.444,-,1.27
2002-01-02,6:00,1.242,-,1.16
2002-01-02,7:00,0.901,-,1.07
2002-01-02,8:00,0.499,-,0.74
2002-01-02,9:00,0.096,-,0.4
2002-01-02,10:00,-0.277,-,0.03
2002-01-02,11:00,-0.586,-,-0.25
2002-01-02,12:00,-0.783,-,-0.45
2002-01-02,13:00,-0.817,-,-0.54
2002-01-02,14:00,-0.669,-,-0.43
2002-01-02,15:00,-0.357,-,-0.23
2002-01-02,16:00,0.056,-,0.07
2002-01-02,17:00,0.469,-,0.44
2002-01-02,18:00,0.785,-,0.7
2002-01-02,19:00,0.967,-,0.85
2002-01-02,20:00,1.032,-,1.04
2002-01-02,21:00,1.01,-,1.1
2002-01-02,22:00,0.923,-,1.11
2002-01-02,23:00,0.81,-,1.14
2002-01-03,0:00,0.731,-,1.03
2002-01-03,1:00,0.74,-,1.09
2002-01-03,2:00,0.847,-,1.17
2002-01-03,3:00,1.028,-,1.3
2002-01-03,4:00,1.225,-,1.5
