"","Date","Time","tempC","DO.meas","atmo.pressure","salinity"
"1","2018-05-01","00:00:00",23.8,8.1,1022,17.6
"2","2018-05-01","00:15:00",23.7,7.9,1021,17.5
"3","2018-05-01","00:30:00",23.7,7.9,1021,17.5
"4","2018-05-01","00:45:00",23.7,7.9,1021,17.5
"5","2018-05-01","01:00:00",23.6,8.1,1021,17.6
"6","2018-05-01","01:15:00",23.6,8.2,1021,17.6
"7","2018-05-01","01:30:00",23.5,8.1,1021,17.7
"8","2018-05-01","01:45:00",23.4,8.2,1022,17.9
"9","2018-05-01","02:00:00",23.4,8.1,1022,18.3
"10","2018-05-01","02:15:00",23.6,8,1022,18.8
"11","2018-05-01","02:30:00",23.5,8,1022,18.6
"12","2018-05-01","02:45:00",23.4,8,1022,18.6
"13","2018-05-01","03:00:00",23.4,7.8,1022,18.7
"14","2018-05-01","03:15:00",23.4,7.8,1022,18.6
"15","2018-05-01","03:30:00",23.3,7.8,1022,18.6
"16","2018-05-01","03:45:00",23.2,7.8,1022,18.5
"17","2018-05-01","04:00:00",23.2,7.7,1022,18
"18","2018-05-01","04:15:00",23.1,7.8,1022,17.1
"19","2018-05-01","04:30:00",23.1,7.8,1022,16.5
"20","2018-05-01","04:45:00",23.1,7.8,1022,16
"21","2018-05-01","05:00:00",23.1,7.8,1022,15.7
"22","2018-05-01","05:15:00",23.2,7.6,1022,16.1
"23","2018-05-01","05:30:00",23.2,7.6,1022,16.3
"24","2018-05-01","05:45:00",23.2,7.5,1022,16.6
"25","2018-05-01","06:00:00",23.2,7.5,1023,16.4
"26","2018-05-01","06:15:00",23.1,7.5,1023,16
"27","2018-05-01","06:30:00",23.1,7.4,1023,15.5
"28","2018-05-01","06:45:00",23,7.3,1023,15.1
"29","2018-05-01","07:00:00",23,7.3,1023,15
"30","2018-05-01","07:15:00",22.9,7.3,1023,14.7
"31","2018-05-01","07:30:00",22.9,7.3,1023,14.2
"32","2018-05-01","07:45:00",22.8,7.4,1024,13.9
"33","2018-05-01","08:00:00",22.8,7.4,1024,13.7
"34","2018-05-01","08:15:00",22.8,7.3,1024,13.6
"35","2018-05-01","08:30:00",22.8,7.3,1024,13.5
"36","2018-05-01","08:45:00",22.8,7.3,1024,13.6
"37","2018-05-01","09:00:00",22.9,7.3,1024,13.7
"38","2018-05-01","09:15:00",22.9,7.3,1024,13.9
"39","2018-05-01","09:30:00",23,7.2,1024,14.2
"40","2018-05-01","09:45:00",23,7.3,1025,14.5
"41","2018-05-01","10:00:00",23.1,7.1,1025,14.8
"42","2018-05-01","10:15:00",23.1,6.8,1025,15.5
"43","2018-05-01","10:30:00",23.1,6.6,1025,16.4
"44","2018-05-01","10:45:00",23.1,6.7,1025,16.5
"45","2018-05-01","11:00:00",23.2,6.8,1025,16.4
"46","2018-05-01","11:15:00",23.2,6.8,1025,16.3
"47","2018-05-01","11:30:00",23.5,7.8,1025,16.2
"48","2018-05-01","11:45:00",23.7,7.8,1025,16.1
"49","2018-05-01","12:00:00",23.6,7.8,1025,16.2
"50","2018-05-01","12:15:00",23.6,7.7,1025,16.3
"51","2018-05-01","12:30:00",23.7,7.7,1025,16.3
"52","2018-05-01","12:45:00",23.6,7.5,1025,16.4
"53","2018-05-01","13:00:00",23.6,7.2,1025,16.4
"54","2018-05-01","13:15:00",23.6,7.3,1024,16.4
"55","2018-05-01","13:30:00",23.6,7.1,1024,16.4
"56","2018-05-01","13:45:00",23.6,6.7,1024,16.2
"57","2018-05-01","14:00:00",23.6,7.4,1024,16.1
"58","2018-05-01","14:15:00",23.6,7.4,1024,16.1
"59","2018-05-01","14:30:00",23.7,7.4,1024,15.9
"60","2018-05-01","14:45:00",23.8,7.5,1023,15.7
"61","2018-05-01","15:00:00",23.9,7.5,1023,15.6
"62","2018-05-01","15:15:00",23.9,7.5,1023,15.6
"63","2018-05-01","15:30:00",24.4,8.7,1023,14.1
"64","2018-05-01","15:45:00",24.4,8.7,1023,14.1
"65","2018-05-01","16:00:00",24.2,7.9,1022,15.2
"66","2018-05-01","16:15:00",24.4,8.3,1022,14.2
"67","2018-05-01","16:30:00",24.5,8.8,1022,13.5
"68","2018-05-01","16:45:00",24.4,8.4,1022,14
"69","2018-05-01","17:00:00",24.3,8.1,1022,14.2
"70","2018-05-01","17:15:00",24,7.5,1022,15.3
"71","2018-05-01","17:30:00",23.8,7.1,1022,16
"72","2018-05-01","17:45:00",23.6,6.7,1022,16.7
"73","2018-05-01","18:00:00",23.6,7.1,1022,16.7
"74","2018-05-01","18:15:00",23.5,6.3,1022,17
"75","2018-05-01","18:30:00",23.5,6.4,1022,17
"76","2018-05-01","18:45:00",23.5,6.3,1022,17.2
"77","2018-05-01","19:00:00",23.5,6.4,1022,17.1
"78","2018-05-01","19:15:00",23.6,6.5,1022,16.6
"79","2018-05-01","19:30:00",23.7,6.6,1022,16.2
"80","2018-05-01","19:45:00",23.9,7,1022,16.2
"81","2018-05-01","20:00:00",24,7.1,1022,16.2
"82","2018-05-01","20:15:00",24.1,7.1,1023,16.2
"83","2018-05-01","20:30:00",24.1,7.1,1023,16.1
"84","2018-05-01","20:45:00",24.2,7.4,1023,16.1
"85","2018-05-01","21:00:00",24.3,7.5,1023,16.1
"86","2018-05-01","21:15:00",24.3,7.5,1023,16.1
"87","2018-05-01","21:30:00",24.4,7.3,1023,16
"88","2018-05-01","21:45:00",24.5,7.7,1023,15.7
"89","2018-05-01","22:00:00",24.7,8.4,1023,15.5
"90","2018-05-01","22:15:00",24.9,8.9,1023,15.3
"91","2018-05-01","22:30:00",24.9,8.8,1023,15.1
"92","2018-05-01","22:45:00",24.9,8.7,1023,14.9
"93","2018-05-01","23:00:00",24.8,8.1,1023,14.5
"94","2018-05-01","23:15:00",24.5,7.8,1023,14.1
"95","2018-05-01","23:30:00",24.4,7.7,1023,14.1
"96","2018-05-01","23:45:00",24.4,7.6,1023,14.1
"97","2018-05-02","00:00:00",24.3,7.9,1023,14.1
"98","2018-05-02","00:15:00",24.3,8,1023,14.1
"99","2018-05-02","00:30:00",24.2,8.6,1023,14.3
"100","2018-05-02","00:45:00",24.1,8.4,1023,14.1
"101","2018-05-02","01:00:00",24.1,8.8,1023,13.8
"102","2018-05-02","01:15:00",24.1,8.9,1023,13.3
"103","2018-05-02","01:30:00",24,8.8,1023,12.9
"104","2018-05-02","01:45:00",23.9,8.8,1023,12.8
"105","2018-05-02","02:00:00",23.8,8.6,1023,13.1
"106","2018-05-02","02:15:00",23.8,8.4,1023,13.3
"107","2018-05-02","02:30:00",24,8.5,1023,13.6
"108","2018-05-02","02:45:00",23.9,8.4,1023,13.6
"109","2018-05-02","03:00:00",23.9,8.2,1023,13.6
"110","2018-05-02","03:15:00",23.7,8.1,1023,13.9
"111","2018-05-02","03:30:00",23.7,8,1023,14
"112","2018-05-02","03:45:00",23.6,8,1023,14.2
"113","2018-05-02","04:00:00",23.5,8,1023,14.2
"114","2018-05-02","04:15:00",23.5,8,1023,14.1
"115","2018-05-02","04:30:00",23.5,8,1023,14.1
"116","2018-05-02","04:45:00",23.5,8,1023,13.8
"117","2018-05-02","05:00:00",23.5,7.9,1023,13.6
"118","2018-05-02","05:15:00",23.4,8,1023,13.3
"119","2018-05-02","05:30:00",23.4,7.9,1024,12.8
"120","2018-05-02","05:45:00",23.4,7.8,1024,12.5
"121","2018-05-02","06:00:00",23.4,7.8,1024,12.5
"122","2018-05-02","06:15:00",23.4,7.8,1024,12.7
"123","2018-05-02","06:30:00",23.3,7.8,1024,12.6
"124","2018-05-02","06:45:00",23.3,7.9,1024,12.3
"125","2018-05-02","07:00:00",23.3,7.9,1024,12
"126","2018-05-02","07:15:00",23.3,7.7,1025,11.9
"127","2018-05-02","07:30:00",23.3,7.6,1025,11.8
"128","2018-05-02","07:45:00",23.3,7.5,1025,11.7
"129","2018-05-02","08:00:00",23.4,7.4,1025,11.8
"130","2018-05-02","08:15:00",23.4,7.3,1025,11.7
"131","2018-05-02","08:30:00",23.4,7.3,1025,11.6
"132","2018-05-02","08:45:00",23.4,7.5,1025,11.6
"133","2018-05-02","09:00:00",23.4,7.7,1025,11.5
"134","2018-05-02","09:15:00",23.5,7.7,1025,11.4
"135","2018-05-02","09:30:00",23.4,7.3,1026,11.7
"136","2018-05-02","09:45:00",23.4,6.6,1026,12.7
"137","2018-05-02","10:00:00",23.4,6.5,1026,13.7
"138","2018-05-02","10:15:00",23.4,6.6,1026,14.2
"139","2018-05-02","10:30:00",23.4,6.7,1026,14.3
"140","2018-05-02","10:45:00",23.4,6.8,1026,14.2
"141","2018-05-02","11:00:00",23.4,6.9,1026,14.1
"142","2018-05-02","11:15:00",23.5,6.8,1026,13.9
"143","2018-05-02","11:30:00",23.5,6.8,1026,13.7
"144","2018-05-02","11:45:00",23.5,6.9,1026,13.5
"145","2018-05-02","12:00:00",23.7,6.8,1026,13.3
"146","2018-05-02","12:15:00",23.8,6.8,1025,13
"147","2018-05-02","12:30:00",24,7.5,1025,12.5
"148","2018-05-02","12:45:00",24.2,8.1,1025,12.4
"149","2018-05-02","13:00:00",24.4,8.8,1025,12.4
"150","2018-05-02","13:15:00",24.4,8.7,1025,12.4
"151","2018-05-02","13:30:00",24.4,8.6,1025,12.4
"152","2018-05-02","13:45:00",24.5,8.8,1025,12.4
"153","2018-05-02","14:00:00",24.6,9,1025,12.5
"154","2018-05-02","14:15:00",24.7,9.2,1024,12.7
"155","2018-05-02","14:30:00",24.7,9.2,1024,12.8
"156","2018-05-02","14:45:00",24.8,9.3,1024,13
"157","2018-05-02","15:00:00",25.1,9.4,1024,12.5
"158","2018-05-02","15:15:00",25,9.3,1024,12.8
"159","2018-05-02","15:30:00",25.1,9.4,1023,12.1
"160","2018-05-02","15:45:00",25.1,9.7,1023,11.6
"161","2018-05-02","16:00:00",25.1,9.7,1023,11.3
"162","2018-05-02","16:15:00",25.1,9.7,1023,11.1
"163","2018-05-02","16:30:00",25.1,9.6,1023,10.7
"164","2018-05-02","16:45:00",25,9.6,1023,10.5
"165","2018-05-02","17:00:00",24.9,9.3,1023,10.2
"166","2018-05-02","17:15:00",24.8,8.9,1023,10.1
"167","2018-05-02","17:30:00",24.7,8.8,1023,10.4
"168","2018-05-02","17:45:00",24.7,8.9,1022,10.6
"169","2018-05-02","18:00:00",24.8,9,1022,10.4
"170","2018-05-02","18:15:00",24.8,8.8,1022,10.2
"171","2018-05-02","18:30:00",24.8,8.9,1022,10
"172","2018-05-02","18:45:00",24.8,8.8,1022,9.4
"173","2018-05-02","19:00:00",24.9,8.8,1022,9
"174","2018-05-02","19:15:00",24.8,8.9,1022,8.5
"175","2018-05-02","19:30:00",24.8,8.9,1022,8.2
"176","2018-05-02","19:45:00",24.7,8.8,1022,8.3
"177","2018-05-02","20:00:00",24.7,8.5,1022,8.7
"178","2018-05-02","20:15:00",24.7,8.5,1022,9.1
"179","2018-05-02","20:30:00",24.7,8.7,1022,8.8
"180","2018-05-02","20:45:00",24.7,8.6,1022,8.7
"181","2018-05-02","21:00:00",24.8,8.8,1023,8.9
"182","2018-05-02","21:15:00",24.8,9,1023,9.4
"183","2018-05-02","21:30:00",24.7,9,1023,9.7
"184","2018-05-02","21:45:00",24.8,9,1023,10
"185","2018-05-02","22:00:00",24.8,8.9,1023,10.3
"186","2018-05-02","22:15:00",24.8,8.9,1023,10.6
"187","2018-05-02","22:30:00",24.8,8.9,1023,10.8
"188","2018-05-02","22:45:00",24.8,8.9,1023,10.9
"189","2018-05-02","23:00:00",24.7,9,1023,11.1
"190","2018-05-02","23:15:00",24.7,8.7,1023,11.2
"191","2018-05-02","23:30:00",24.6,8.8,1023,11.4
"192","2018-05-02","23:45:00",24.6,8.5,1023,11.5
"193","2018-05-03","00:00:00",24.5,8.1,1023,11.5
"194","2018-05-03","00:15:00",24.5,7.6,1023,11.5
"195","2018-05-03","00:30:00",24.5,7.3,1023,11.4
"196","2018-05-03","00:45:00",24.4,8.1,1023,10.9
"197","2018-05-03","01:00:00",24.3,8.4,1023,10.2
"198","2018-05-03","01:15:00",24.2,8.4,1022,10
"199","2018-05-03","01:30:00",24.2,8.4,1022,10.1
"200","2018-05-03","01:45:00",24.2,8.3,1022,10.2
"201","2018-05-03","02:00:00",24.2,8.3,1022,10.5
"202","2018-05-03","02:15:00",24.3,8.2,1022,11.1
"203","2018-05-03","02:30:00",24.3,8.1,1022,11.3
"204","2018-05-03","02:45:00",24.2,8.1,1022,11.2
"205","2018-05-03","03:00:00",24,8,1022,11.2
"206","2018-05-03","03:15:00",23.9,8,1022,11.1
